"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2109083";"DENOFUNGIN";"DENOFUNGIN|U-28,009";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2109105";"BINIRAMYCIN";"ANTIBIOTIC 241A|BINIRAMYCIN";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2108423";"LYSOSTAPHIN";"LYSOSTAPHIN";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL1201441";"COLISTIMETHATE SODIUM";"COLIFIN 1 MIU|COLIFIN 2 MIU|COLISTIMETHATE SODIUM|COLOBREATHE|COLY-MYCIN M|Colistimethate sodium|Coly-mycin|PROMIXIN|W 1929";"Small molecule";"4";"";"4";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL1201469";"GRAMICIDIN";"GRAMICIDIN|GRAMICIDINS|Gramoderm";"Small molecule";"4";"";"105";"264";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2108749";"PAULOMYCIN";"PAULOMYCIN|U-43,120";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2108831";"BACITRACIN METHYLENE DISALICYLATE";"BACITRACIN METHYLENE DISALICYLATE";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2106418";"DOXYCYCLINE FOSFATEX";"AB08|DMSC|DOXYCYCLINE FOSFATEX";"Small molecule";"2";"786.34";"";"";"-0.35";"181.62";"9";"6";"1";"2";"N";"0.33";"2.92";"7.46";"-3.29";"-3.57";"1";"MOL";"0";"32";"10";"7";"1";"444.1533";"ACID";"C22H27N2NaO20P4";"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)[O-].[Na+]"
"CHEMBL2108224";"AVOPARCIN";"AVOPARCIN|CL 81,587";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2108240";"CIROLEMYCIN";"CIROLEMYCIN|U-12,241";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
