Name,SMILES,hit_inh,hit_kill
triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1.0,1.0
amiselimod,CCCCCCCOc1ccc(CCC(N)(CO)CO)cc1C(F)(F)F,1.0,1.0
silver-sulfadiazine,Nc1ccc(cc1)S(=O)(=O)N([Ag])c1ncccn1,1.0,1.0
visomitin,"CC1=C(C)C(=O)C(CCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)=CC1=O |c:1,38|",1.0,1.0
colistin,"CC[C@@H](C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O |a:10,17,18,24,31,37,41,48,55,63,71,78,&1:2|",1.0,1.0
LTX-315,NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,1.0,1.0
KHK-IN-1,CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1,0.0,1.0
stattic,[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1 |c:7|,1.0,1.0
BAY-11-7082,Cc1ccc(cc1)S(=O)(=O)\C=C\C#N,1.0,1.0
AZ505,Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,0.0,1.0
levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,1.0,1.0
gemifloxacin,CO\N=C1/CN(C[C@@H]1CN)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1 |&1:7|,1.0,0.0
sulopenem,"C[C@@H](O)[C@@H]1[C@H]2SC(S[C@H]3CC[S@@](=O)C3)=C(N2C1=O)C(O)=O |&1:11,c:14|",1.0,0.0
tebipenem,"C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C |c:19,t:14|",1.0,0.0
cefmenoxime,[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O |c:13|,1.0,0.0
orbifloxacin,C[C@H]1CN(C[C@@H](C)N1)c1c(F)c(F)c2c(c1F)n(cc(C(O)=O)c2=O)C1CC1,1.0,0.0
