Protein_ID	norm_rel_fc_126_DMSO_1	norm_rel_fc_127C_DMSO_1	norm_rel_fc_127N_DMSO_1	norm_rel_fc_128C_DMSO_1	norm_rel_fc_128N_DMSO_1	norm_rel_fc_129C_DMSO_1	norm_rel_fc_129N_DMSO_1	norm_rel_fc_130C_DMSO_1	norm_rel_fc_130N_DMSO_1	norm_rel_fc_131_DMSO_1	norm_rel_fc_126_SEMA_1	norm_rel_fc_127C_SEMA_1	norm_rel_fc_127N_SEMA_1	norm_rel_fc_128C_SEMA_1	norm_rel_fc_128N_SEMA_1	norm_rel_fc_129C_SEMA_1	norm_rel_fc_129N_SEMA_1	norm_rel_fc_130C_SEMA_1	norm_rel_fc_130N_SEMA_1	norm_rel_fc_131_SEMA_1	splinefit_plot	F_statistic	F_moderated	F_scaled	residual_df_H1	prior_df_H1	df1	df2	df2_moderated	posterior_var_H1	p_NPARC	p_adj_NPARC	a_DMSO_1	b_DMSO_1	meltPoint_DMSO_1	inflPoint_DMSO_1	slope_DMSO_1	plateau_DMSO_1	R_sq_DMSO_1	a_SEMA_1	b_SEMA_1	meltPoint_SEMA_1	inflPoint_SEMA_1	slope_SEMA_1	plateau_SEMA_1	R_sq_SEMA_1	meltcurve_plot	diff_meltP_SEMA_1_vs_DMSO_1	min_slope_SEMA_1_vs_DMSO_1	pVal_adj_SEMA_1_vs_DMSO_1	passed_filter_SEMA_1_vs_DMSO_1	protein_identified_in_DMSO_1	protein_identified_in_SEMA_1	model_converged_DMSO_1	sufficient_data_for_fit_DMSO_1	model_converged_SEMA_1	sufficient_data_for_fit_SEMA_1	gene_description_DMSO_1	Number.of.PSMs_DMSO_1	Number.of.Unique.Peptides_DMSO_1	gene_description_SEMA_1	Number.of.PSMs_SEMA_1	Number.of.Unique.Peptides_SEMA_1
A0A061YCW5	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.998339340213335	0.934894387848243	0.847349837091418	0.971114555127673	1.00744431359881	0.893517976090266	0.798799446981249	0.823191150617253	0.98937074565848	0.925133252346756	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A061YCW5.pdf	0.0493521829381383	0.438652922452905	0.109663230613226	3	2.24904075952803	4	3	5.24904075952803	0.00521336077637963	0.974029487291092	0.999999999999974	NA	NA	NA	NA	NA	NA	NA	102.247968602512	0.985739666436612	NA	NA	NA	0.720549908822767	0.0672543960126479	Melting_Curves/meltCurve_A0A061YCW5.pdf	NA	NA	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	AAA family ATPase OS=Escherichia coli OX=562 GN=BON84_20005 PE=4 SV=1 UPId=UP000315129 PPId=UP000000625	1	1	AAA family ATPase OS=Escherichia coli OX=562 GN=BON84_20005 PE=4 SV=1 UPId=UP000315129 PPId=UP000000625	1	1
A0A076G516	0.998339340213335	0.778291200693807	0.498714236408085	0.658313688762948	0.721088316013781	0.702532966657566	0.695579204563156	0.58990837855364	0.490895590994018	0.328541196317426	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A076G516.pdf	0.0928525410873832	0.914720315885108	0.228680078971277	3	2.24904075952803	4	3	5.24904075952803	0.0129767062242921	0.911491144908982	0.999999999999974	164.511749959603	2.40777087157206	68.3253267159561	45.169892154035	-0.0140790013986738	0	0.433676903462749	NA	NA	NA	NA	NA	NA	NA	Melting_Curves/meltCurve_A0A076G516.pdf	NA	NA	NA	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Glycosyltransferase OS=Escherichia coli OX=562 GN=CDC27_10605 PE=4 SV=1 UPId=UP000323341 PPId=UP000000625	1	1	Glycosyltransferase OS=Escherichia coli OX=562 GN=CDC27_10605 PE=4 SV=1 UPId=UP000323341 PPId=UP000000625	1	1
A0A080HZF4	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A080HZF4.pdf	Inf	NA	NA	-6	2.24904075952803	4	-6	-3.75095924047197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Melting_Curves/meltCurve_A0A080HZF4.pdf	NA	NA	NA	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Type VII secretion system (T7SS), usher family protein OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_4935 PE=3 SV=1 UPId=UP000027995 PPId=UP000000625	2	1	Type VII secretion system (T7SS), usher family protein OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_4935 PE=3 SV=1 UPId=UP000027995 PPId=UP000000625	2	1
A0A080J3K8	0.998339340213335	0.83766154193952	0.873530781516457	0.455051325890383	0.699061502502106	0.263963409986834	0.262282094969037	0.187216431517023	0.212491879067551	0.13973667765449	0.998339340213335	0.821802324802084	0.878617358755308	0.431504674967108	0.65862532574683	0.280010915042372	0.303306973597213	0.246709396043424	0.253532443331903	0.145159029649988	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A080J3K8.pdf	0.156733560507103	1.88358771453117	0.470896928632794	12	2.24904075952803	4	12	14.249040759528	0.0018807218548358	0.756371870827581	0.999999999999974	660.780418047532	12.4556529495205	53.9351066484329	51.7388717636211	-0.0546370866725978	0.092373046451518	0.986417139524628	609.263526994076	11.6296022629897	53.7399217767281	50.911885654351	-0.0498822425125201	0.126742959590603	0.989726767726104	Melting_Curves/meltCurve_A0A080J3K8.pdf	-0.195184871704804	-0.0546370866725978	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	DUF772 domain-containing protein (Fragment) OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_0923 PE=4 SV=1 UPId=UP000027995 PPId=UP000000625	10	4	DUF772 domain-containing protein (Fragment) OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_0923 PE=4 SV=1 UPId=UP000027995 PPId=UP000000625	10	4
A0A0A6ZMD5	0.998339340213335	0.840899924189286	0.835007969935875	0.729730194637092	0.795283898368897	0.598796373627721	0.500639809653737	0.582843607552997	0.561726217349869	0.787218840526819	0.998339340213335	0.930586118779817	0.859856845756974	0.570758837589189	0.668952203676658	0.43627168785628	0.455415876272092	0.574002263156308	0.496170914489388	0.474322463081652	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A0A6ZMD5.pdf	0.973804294532188	12.9598812756828	3.2399703189207	12	2.24904075952803	4	12	14.249040759528	0.004461723639524	0.0437872575806515	0.296533959565171	592.564442700512	12.4102508307602	NA	46.5590281963013	-0.0262015385923989	0.606886243359739	0.670162630927888	1027.95529572524	20.5730527314822	59.3099386586997	49.5011966263621	-0.0539847801251163	0.480440077041162	0.923260432551656	Melting_Curves/meltCurve_A0A0A6ZMD5.pdf	NA	-0.0539847801251163	NA	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2-dehydropantoate 2-reductase OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_00381 PE=3 SV=1 UPId=UP000031647 PPId=UP000000625	19	6	2-dehydropantoate 2-reductase OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_00381 PE=3 SV=1 UPId=UP000031647 PPId=UP000000625	19	6
A0A0A6ZMZ8	0.998339340213335	1.12155971916902	1.25355311197356	0.929330172593035	1.00164036179406	0.692262016852631	0.711528791419382	0.773592424570342	0.75257540503091	0.681616313139075	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A0A6ZMZ8.pdf	0.0917248499934886	0.828928200947926	0.207232050236982	3	2.24904075952803	4	3	5.24904075952803	0.00574470032902231	0.924175577372555	0.999999999999974	13784.0048752923	250	NA	55.1324911767621	-0.31479308378677	0.722314769771622	0.761969382884776	NA	NA	NA	NA	NA	NA	NA	Melting_Curves/meltCurve_A0A0A6ZMZ8.pdf	NA	NA	NA	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Beta-lactamase induction protein, AmpE OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_00164 PE=4 SV=1 UPId=UP000031647 PPId=UP000000625	3	2	Beta-lactamase induction protein, AmpE OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_00164 PE=4 SV=1 UPId=UP000031647 PPId=UP000000625	3	2
A0A0A6ZQU9	0.998339340213335	1.09889104342066	1.42950865676054	0.925667787676412	1.45608830371915	0.8874100631464	0.736339259862399	0.549874676216666	0.726013920147466	0.537612866701242	0.998339340213335	0.921969580642967	1.42684123859551	0.794298414429899	1.15087317373531	0.803327194466131	0.581110658123189	0.740128188130271	0.595207025165912	0.259650658669697	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A0A6ZQU9.pdf	0.195571080974583	2.76316051411203	0.690790128528009	12	2.24904075952803	4	12	14.249040759528	0.0348641517558925	0.610207341611145	0.999999999999974	1350.10499500388	21.9739398057331	NA	60.9391216731732	-0.0457078089858668	0.492975523047101	0.525226143664722	646.940018008129	9.7590742846238	66.2911228050889	63.6873581061434	-0.0383289734631702	0	0.622865858424112	Melting_Curves/meltCurve_A0A0A6ZQU9.pdf	NA	-0.0457078089858668	NA	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	alanine racemase OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_01606 PE=3 SV=1 UPId=UP000031647 PPId=UP000000625	7	1	alanine racemase OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_01606 PE=3 SV=1 UPId=UP000031647 PPId=UP000000625	7	1
A0A0A6ZQW2	0.998339340213335	1.1107651116698	1.04323938388497	0.573163239451468	0.904258659952973	0.291694974460159	0.437727550387515	0.307317538527944	0.143628770110474	0.181337673292086	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A0A6ZQW2.pdf	0.00641909162504166	0.0544979786948443	0.0136244946737111	3	2.24904075952803	4	3	5.24904075952803	0.00417947786879015	0.999503349017508	0.999999999999974	1424.81208203419	25.892591514301	56.2031247675501	54.7027025073007	-0.0935962902606059	0.209054047981004	0.968676280050421	NA	NA	NA	NA	NA	NA	NA	Melting_Curves/meltCurve_A0A0A6ZQW2.pdf	NA	NA	NA	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	endopeptidase La OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_01169 PE=3 SV=1 UPId=UP000031647 PPId=UP000000625	17	1	endopeptidase La OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_01169 PE=3 SV=1 UPId=UP000031647 PPId=UP000000625	17	1
A0A0A7A062	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A0A7A062.pdf	Inf	NA	NA	-6	2.24904075952803	4	-6	-3.75095924047197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Melting_Curves/meltCurve_A0A0A7A062.pdf	NA	NA	NA	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	thiazole synthase OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_04926 PE=4 SV=1 UPId=UP000031647 PPId=UP000000625	1	1	thiazole synthase OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_04926 PE=4 SV=1 UPId=UP000031647 PPId=UP000000625	1	1
A0A0A7A274	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.998339340213335	NA	NA	NA	NA	NA	NA	NA	NA	NA	/Users/alice/Dropbox (MIT)/LOURIDO/COLLABORATIONS/Aarti_Krishnan/exported_plots/Spline_Fits/Individual/smoothingSpline_A0A0A7A274.pdf	Inf	NA	NA	-6	2.24904075952803	4	-6	-3.75095924047197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Melting_Curves/meltCurve_A0A0A7A274.pdf	NA	NA	NA	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Putative RNA polymerase sigma factor fecI OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_05636 PE=4 SV=1 UPId=UP000031647 PPId=UP000000625	1	1	Putative RNA polymerase sigma factor fecI OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_05636 PE=4 SV=1 UPId=UP000031647 PPId=UP000000625	1	1
