"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Abundance Ratio 44 DMSO  40 DMSO"	"Abundance Ratio 44 sema  40 sema"	"Abundance Ratio 47 DMSO  40 DMSO"	"Abundance Ratio 47 sema  40 sema"	"Abundance Ratio 51 DMSO  40 DMSO"	"Abundance Ratio 51 sema  40 sema"	"Abundance Ratio 55 DMSO  40 DMSO"	"Abundance Ratio 55 sema  40 sema"	"Abundance Ratio 58 DMSO  40 DMSO"	"Abundance Ratio 58 sema  40 sema"	"Abundance Ratio 60 DMSO  40 DMSO"	"Abundance Ratio 60 sema  40 sema"	"Abundance Ratio 63 DMSO  40 DMSO"	"Abundance Ratio 63 sema  40 sema"	"Abundance Ratio 66 DMSO  40 DMSO"	"Abundance Ratio 66 sema  40 sema"	"Abundance Ratio 70 DMSO  40 DMSO"	"Abundance Ratio 70 sema  40 sema"	"Abundances Grouped 40 DMSO"	"Abundances Grouped 40 sema"	"Abundances Grouped 44 DMSO"	"Abundances Grouped 44 sema"	"Abundances Grouped 47 DMSO"	"Abundances Grouped 47 sema"	"Abundances Grouped 51 DMSO"	"Abundances Grouped 51 sema"	"Abundances Grouped 55 DMSO"	"Abundances Grouped 55 sema"	"Abundances Grouped 58 DMSO"	"Abundances Grouped 58 sema"	"Abundances Grouped 60 DMSO"	"Abundances Grouped 60 sema"	"Abundances Grouped 63 DMSO"	"Abundances Grouped 63 sema"	"Abundances Grouped 66 DMSO"	"Abundances Grouped 66 sema"	"Abundances Grouped 70 DMSO"	"Abundances Grouped 70 sema"	"Found in Sample in S1 F1 126 Sample 40 DMSO"	"Found in Sample in S2 F2 126 Sample 40 sema"	"Found in Sample in S4 F1 127C Sample 44 DMSO"	"Found in Sample in S13 F2 127C Sample 44 sema"	"Found in Sample in S6 F1 128C Sample 47 DMSO"	"Found in Sample in S15 F2 128C Sample 47 sema"	"Found in Sample in S8 F1 129C Sample 51 DMSO"	"Found in Sample in S17 F2 129C Sample 51 sema"	"Found in Sample in S10 F1 130C Sample 55 DMSO"	"Found in Sample in S19 F2 130C Sample 55 sema"	"Found in Sample in S3 F1 127N Sample 58 DMSO"	"Found in Sample in S12 F2 127N Sample 58 sema"	"Found in Sample in S5 F1 128N Sample 60 DMSO"	"Found in Sample in S14 F2 128N Sample 60 sema"	"Found in Sample in S7 F1 129N Sample 63 DMSO"	"Found in Sample in S16 F2 129N Sample 63 sema"	"Found in Sample in S9 F1 130N Sample 66 DMSO"	"Found in Sample in S18 F2 130N Sample 66 sema"	"Found in Sample in S11 F1 131 Sample 70 DMSO"	"Found in Sample in S20 F2 131 Sample 70 sema"	"Number of Protein Groups"	"Modifications"
"-5038594933836614406"	"False"	"High"	"IsMasterProtein"	"P0A8V2"	"DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=rpoB PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"725.464"	"68"	"76"	"470"	"76"	"1342"	"150.5"	"5.26"	"1194.90"	"76"	"0.957"	"0.999"	"0.789"	"0.805"	"0.615"	"0.638"	"0.435"	"0.447"	"0.197"	"0.194"	"0.100"	"0.110"	"0.062"	"0.069"	"0.021"	"0.029"	"0.043"	"0.048"	"21018.8"	"23007.5"	"20111.2"	"22975.1"	"16586.8"	"18520.5"	"12935.0"	"14680.6"	"9147.7"	"10281.6"	"4136.6"	"4470.9"	"2095.9"	"2525.5"	"1297.5"	"1577.4"	"440.9"	"669.4"	"911.8"	"1110.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [S508; S509]; Methylthio [C85; C764; C770; C838]"
"6326579045036104679"	"False"	"High"	"IsMasterProtein"	"P0A8T7"	"DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) OX=83333 GN=rpoC PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"718.272"	"72"	"86"	"433"	"76"	"1407"	"155.1"	"7.08"	"1105.47"	"86"	"0.952"	"1.008"	"0.785"	"0.787"	"0.623"	"0.621"	"0.435"	"0.437"	"0.184"	"0.185"	"0.094"	"0.091"	"0.059"	"0.058"	"0.018"	"0.020"	"0.034"	"0.039"	"34218.1"	"37080.9"	"32565.1"	"37392.3"	"26873.3"	"29189.9"	"21306.8"	"23025.0"	"14884.5"	"16189.0"	"6305.3"	"6844.9"	"3228.8"	"3391.8"	"2003.0"	"2142.8"	"603.8"	"756.1"	"1172.1"	"1463.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C58; C70; C72; C88; C198; C366; C454; C517; C608; C814; C869]"
"7625579124556386918"	"False"	"High"	"IsMasterProtein"	"P0A6M8"	"Elongation factor G OS=Escherichia coli (strain K12) OX=83333 GN=fusA PE=1 SV=2 UPId=UP000000625 PPId=UP000000625"	"0.000"	"557.350"	"79"	"43"	"992"	"43"	"704"	"77.5"	"5.38"	"2283.35"	"43"	"0.949"	"0.960"	"0.928"	"0.936"	"0.856"	"0.874"	"0.923"	"0.951"	"0.758"	"0.766"	"0.510"	"0.523"	"0.334"	"0.336"	"0.104"	"0.127"	"0.068"	"0.056"	"30089.9"	"45389.5"	"28543.9"	"43589.0"	"27924.2"	"42475.0"	"25755.6"	"39671.3"	"27775.2"	"43159.7"	"22803.7"	"34772.9"	"15347.7"	"23725.7"	"10035.1"	"15236.2"	"3117.1"	"5764.9"	"2058.2"	"2549.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C114; C266; C398]; Phospho [T49; T348]"
"3570905289860361297"	"False"	"High"	"IsMasterProtein"	"A0A377CEV8"	"Chaperonin GroEL OS=Escherichia coli OX=562 GN=groL PE=3 SV=1 UPId=UP000254255 PPId=UP000000625"	"0.000"	"544.414"	"79"	"34"	"910"	"21"	"531"	"56.0"	"5.00"	"2530.73"	"34"	"1.102"	"1.042"	"0.830"	"0.837"	"0.843"	"0.853"	"0.963"	"0.983"	"0.918"	"0.952"	"0.803"	"0.818"	"0.927"	"0.939"	"0.810"	"0.830"	"0.891"	"0.848"	"10878.1"	"10715.6"	"11992.3"	"11162.9"	"9033.9"	"8968.7"	"9169.4"	"9135.9"	"10472.0"	"10537.5"	"9987.4"	"10197.8"	"8730.1"	"8769.2"	"10082.6"	"10061.8"	"8813.4"	"8893.5"	"9690.0"	"9082.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C138; C458; C519]; Phospho [T91; T93; T181]"
"3859307962794449126"	"False"	"High"	"IsMasterProtein"	"P0A6Y8"	"Chaperone protein DnaK OS=Escherichia coli (strain K12) OX=83333 GN=dnaK PE=1 SV=2 UPId=UP000000625 PPId=UP000000625"	"0.000"	"533.442"	"84"	"54"	"718"	"54"	"638"	"69.1"	"4.97"	"1705.09"	"54"	"0.999"	"0.993"	"0.890"	"0.905"	"0.760"	"0.786"	"0.864"	"0.900"	"0.786"	"0.804"	"0.610"	"0.647"	"0.661"	"0.697"	"0.542"	"0.571"	"0.539"	"0.555"	"19385.2"	"23334.0"	"19374.6"	"23164.5"	"17261.5"	"21120.8"	"14740.4"	"18347.7"	"16757.2"	"21005.1"	"15238.6"	"18764.6"	"11817.7"	"15096.1"	"12822.6"	"16267.6"	"10512.6"	"13315.4"	"10449.3"	"12947.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C15]; Phospho [S332]"
"-3653557249456724242"	"False"	"High"	"IsMasterProtein"	"P0AG67"	"30S ribosomal protein S1 OS=Escherichia coli (strain K12) OX=83333 GN=rpsA PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"522.124"	"70"	"46"	"821"	"46"	"557"	"61.1"	"4.98"	"2127.65"	"46"	"0.990"	"1.031"	"0.935"	"0.929"	"0.824"	"0.823"	"0.926"	"0.909"	"0.814"	"0.778"	"0.625"	"0.591"	"0.616"	"0.582"	"0.464"	"0.440"	"0.328"	"0.319"	"33715.0"	"28282.0"	"33378.8"	"29167.9"	"31534.6"	"26285.9"	"27774.3"	"23289.7"	"31213.2"	"25708.7"	"27445.6"	"21999.8"	"21076.5"	"16726.4"	"20762.8"	"16450.7"	"15635.2"	"12453.5"	"11055.9"	"9011.8"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [S4; S12; S179]"
"-8424085817474327298"	"False"	"High"	"IsMasterProtein"	"P0A9Q7"	"Bifunctional aldehyde-alcohol dehydrogenase AdhE OS=Escherichia coli (strain K12) OX=83333 GN=adhE PE=1 SV=2 UPId=UP000000625 PPId=UP000000625"	"0.000"	"443.318"	"69"	"49"	"251"	"49"	"891"	"96.1"	"6.79"	"717.40"	"49"	"1.072"	"1.030"	"0.715"	"0.707"	"0.699"	"0.765"	"0.722"	"0.758"	"0.533"	"0.576"	"0.371"	"0.416"	"0.302"	"0.351"	"0.158"	"0.187"	"0.070"	"0.078"	"12480.8"	"12900.4"	"13382.3"	"13286.6"	"8928.8"	"9119.1"	"8720.6"	"9864.1"	"9013.5"	"9772.4"	"6658.2"	"7429.8"	"4624.7"	"5371.5"	"3764.6"	"4525.6"	"1973.7"	"2416.5"	"871.5"	"1006.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C370; C421; C746; C841]"
"1869885183392175522"	"False"	"High"	"IsMasterProtein"	"P0A705"	"Translation initiation factor IF-2 OS=Escherichia coli (strain K12) OX=83333 GN=infB PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"441.259"	"66"	"49"	"208"	"49"	"890"	"97.3"	"6.07"	"643.27"	"49"	"0.931"	"0.968"	"0.825"	"0.823"	"0.561"	"0.564"	"0.373"	"0.384"	"0.127"	"0.138"	"0.063"	"0.079"	"0.058"	"0.071"	"0.027"	"0.034"	"0.043"	"0.059"	"16854.5"	"28579.7"	"15689.3"	"27678.8"	"13899.5"	"23518.3"	"9461.2"	"16119.6"	"6284.9"	"10985.3"	"2139.1"	"3945.6"	"1058.5"	"2261.4"	"981.9"	"2018.9"	"457.2"	"959.1"	"725.2"	"1689.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C599; C815; C861]"
"-5887079506885638739"	"False"	"High"	"IsMasterProtein"	"P06959"	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3 UPId=UP000000625 PPId=UP000000625"	"0.000"	"413.540"	"81"	"41"	"419"	"41"	"630"	"66.1"	"5.17"	"1041.82"	"41"	"1.014"	"1.054"	"0.779"	"0.770"	"0.789"	"0.780"	"0.863"	"0.849"	"0.800"	"0.742"	"0.639"	"0.596"	"0.746"	"0.704"	"0.615"	"0.542"	"0.533"	"0.429"	"13545.3"	"16165.8"	"13735.9"	"17045.8"	"10555.8"	"12440.2"	"10683.7"	"12617.4"	"11682.9"	"13729.0"	"10835.7"	"11992.0"	"8652.6"	"9639.4"	"10102.7"	"11378.6"	"8327.0"	"8762.2"	"7219.1"	"6942.8"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [T121]; Methylthio [C547]"
"8730569252296719513"	"False"	"High"	"IsMasterProtein"	"P09152"	"Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) OX=83333 GN=narG PE=1 SV=4 UPId=UP000000625 PPId=UP000000625"	"0.000"	"411.871"	"58"	"57"	"224"	"46"	"1247"	"140.4"	"6.51"	"586.05"	"57"	"0.900"	"0.909"	"0.820"	"0.814"	"0.707"	"0.689"	"0.749"	"0.763"	"0.750"	"0.718"	"0.639"	"0.604"	"0.646"	"0.629"	"0.567"	"0.548"	"0.411"	"0.397"	"3845.7"	"4976.1"	"3459.5"	"4522.5"	"3154.5"	"4048.6"	"2719.6"	"3427.7"	"2882.1"	"3798.4"	"2884.6"	"3573.2"	"2456.8"	"3004.8"	"2485.4"	"3130.7"	"2179.2"	"2729.3"	"1581.8"	"1977.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C54; C58; C493; C780; C838; C875]"
